,move_flag_twfe,rate_gap_twfe,balance_to_orig_twfe,loan_age_years_twfe,log_balance_twfe
move_flag_twfe,1.0,0.0018920216933512933,-0.007375419010243823,-0.19821955218049225,0.004438745386609902
rate_gap_twfe,0.0018920216933512933,1.0,0.006837651526492145,-0.0002467077486529946,0.4823493646376013
balance_to_orig_twfe,-0.007375419010243823,0.006837651526492145,1.0,-0.0036537193814779097,0.022365902044292337
loan_age_years_twfe,-0.19821955218049225,-0.0002467077486529946,-0.0036537193814779097,1.0,-0.003955366300932327
log_balance_twfe,0.004438745386609902,0.4823493646376013,0.022365902044292337,-0.003955366300932327,1.0
