,move_flag_between,rate_gap_between,balance_to_orig_between,loan_age_years_between,log_balance_between
move_flag_between,1.0,0.052313885353018286,0.004630001975362535,-0.41669038401711,0.0017858975003072364
rate_gap_between,0.052313885353018286,1.0,-0.0036596834738952945,-0.02880227358734184,0.4734966969263782
balance_to_orig_between,0.004630001975362535,-0.0036596834738952945,1.0,-0.0015914072670211695,-0.08327609433905633
loan_age_years_between,-0.41669038401711,-0.02880227358734184,-0.0015914072670211695,1.0,0.0242150077048054
log_balance_between,0.0017858975003072364,0.4734966969263782,-0.08327609433905633,0.0242150077048054,1.0
