variable,N,NT,NT_over_N,overall_var,between_var,within_var,within_share
market_rate,1000,51000,51.0,1.4276806685198848,3.158602223107155e-30,1.4562057282769127,1.0199800000000003
trend,1000,51000,51.0,216.67091511598267,0.0,221.0,1.01998
rate_gap,1000,48737,48.737,1.8898070638098885,0.011398159121087086,1.9190888325264475,1.015494581048674
mortgage_rate_annual,1000,48737,48.737,0.4564307181246743,0.010072097885386438,0.4570204935955915,1.0012921467541458
move_flag,1000,51000,51.0,0.12579459420388484,0.0024597161559868214,0.12580156862745098,1.0000554429513469
log_balance,1000,51000,51.0,2.032352389168655,0.04547073418972234,2.0266250211796013,0.9971819021053743
balance_to_orig,1000,51000,51.0,44131.30764297027,2576.7195547665797,42387.425477760786,0.9604842399115434
loan_age_years,1000,51000,51.0,2.3937740808979724,0.5104147503664757,1.9214992647058826,0.8027070223707468
