variable,n,mean,median,sd,se,min,q1,q3,max,skew,kurtosis,std_min,std_max
dy,42799,0.001612187200635529,0.0,0.5091087856913251,0.5091087856913251,-1.0,0.0,0.0,1.0,0.002717863317692222,3.8584221199654003,-1.9673834263938974,1.9610500562146878
dy_l1,42799,0.0019159326152480198,0.0,0.5060926726371493,0.5060926726371493,-1.0,0.0,0.0,1.0,0.0034237793997280793,3.90452571540426,-1.9797084344147118,1.9721369649237013
dx,42799,0.05603136435798678,0.00506407214547977,1.0433413646212173,1.0433413646212173,-11.849084532362436,-0.2425828236318206,0.2970627971220523,12.43194743058043,0.0650629799303654,40.62989011751499,-11.410566378763818,11.861809074075666
dx_l1,42799,0.05874103917179137,0.007574374310265863,1.0369563358765335,1.0369563358765335,-11.849084532362436,-0.22988263278472854,0.2978360047234263,12.43194743058043,-0.08683599929292193,41.13061549201413,-11.483439716358555,11.932234717433532
y_l2,42799,0.14941937895745228,0.0,0.3565055367818789,0.3565055367818789,0.0,0.0,0.0,1.0,1.9668530684135528,4.868598310262383,-0.41912218336421425,2.3858833406084217
x_l2,42799,3.9914296042196944,3.7910789580934168,1.2983711013029684,1.2983711013029684,-8.181924107667381,3.4068235411170233,4.286573840059605,7.303224295843373,-0.4042102121898146,10.995019932978957,-9.375866190853,2.5507304408579006
