,move_flag,rate_gap,mortgage_rate_annual
move_flag,1.0,0.03962918959522015,-0.03692933004881352
rate_gap,0.03962918959522015,1.0,-0.9310043380788439
mortgage_rate_annual,-0.03692933004881352,-0.9310043380788439,1.0
