transform,n,mean,median,sd,se,min,q1,q3,max,skew,kurtosis,std_min,std_max
between,51000,0.1475686274509804,0.13725490196078433,0.04957120759346507,0.04957120759346507,0.0196078431372549,0.11764705882352941,0.17647058823529413,0.3333333333333333,0.387867496013632,3.3350604695548225,-2.5813529773802495,3.7474315212535214
within,51000,-1.8830253260799223e-18,-0.13725490196078433,0.35119409104028276,0.35119409104028276,-0.3333333333333333,-0.17647058823529413,-0.09803921568627451,0.9803921568627451,1.9293286639921943,4.877889558728613,-0.9491427727213646,2.7915963903569545
fd,50000,0.00306,0.0,0.5030066567292467,0.5030066567292467,-1.0,0.0,0.0,1.0,0.005793872682742121,3.9524014779407395,-1.9941286791755461,1.9819618421801974
twfe,51000,7.21862656795494e-18,-0.12868627450980394,0.3466290347199851,0.3466290347199851,-0.6145490196078431,-0.17190196078431372,-0.0748627450980392,1.0703529411764705,1.874438854372347,4.867251479154391,-1.7729300146604567,3.087891763138441
