,dy,dy_l1,dx,dx_l1,y_l2,x_l2
dy,1.0,-0.5037676588383034,-0.007410239515963242,0.0007422154657585567,0.004208384480081615,-0.0046226341483508815
dy_l1,-0.5037676588383034,1.0,0.006451931923641659,-0.007215540949291923,-0.7060836390728051,-0.003263968273374674
dx,-0.007410239515963242,0.006451931923641659,1.0,-0.41214827288826344,0.004067721142922794,-0.037537095682665556
dx_l1,0.0007422154657585567,-0.007215540949291923,-0.41214827288826344,1.0,0.015926471840777855,-0.3365584556289091
y_l2,0.004208384480081615,-0.7060836390728051,0.004067721142922794,0.015926471840777855,1.0,0.0025623690491911257
x_l2,-0.0046226341483508815,-0.003263968273374674,-0.037537095682665556,-0.3365584556289091,0.0025623690491911257,1.0
