model,n_obs,coef_rate_gap,se_rate_gap,r_squared
between,1000,0.02073538191990932,0.01526054296237268,0.17533662670478312
within,48737,0.0036177522832647516,0.0011940488117500407,0.030724902923641384
mundlak,48737,0.0036290602569190233,0.0012085670420557777,0.03364012066557576
twfe,48737,3.2399970703790046e-05,0.002685878929163008,0.039371319801921656
fd,45668,-0.0059594380070142885,0.0023595263039513036,0.09242949643578491
