personid,T_i,corr,sd_y,sd_x,sd_ratio,beta
A865000,48,0.48734563237738787,0.2917299829957891,0.7160146196334914,0.40743579110873157,0.1985620532710661
A114000,46,0.45726935440815086,0.493924440230492,2.0836283570154825,0.2370501623130011,0.10839577468321339
A749000,46,0.4332132494970483,0.4466731559121955,1.0923908262300912,0.40889500825788916,0.17713873523052256
A633000,48,0.41065526195124874,0.5457768229098153,0.6081114235849459,0.8974947710936676,0.36856095032334607
A464000,41,0.40828345596444127,0.5238227218271836,0.4419589676217319,1.1852293090600166,0.48390951841337043
A806000,42,0.402288168101267,0.538850671761303,1.353879120812305,0.3980050090720075,0.16011270599470603
A597000,48,0.3996281016600382,0.6354620812743972,0.43205921710757095,1.4707754310358445,0.587763193473079
A198000,48,0.38951925511102475,0.6010481388776001,0.8987546297495128,0.668756653910217,0.2604935936816491
A963000,44,0.3885149760537707,0.6819943394704735,0.48144833698482403,1.41654729506724,0.5503498384220825
A106000,46,0.37877819174683475,0.44667315591219536,1.4754608278856025,0.3027346761569379,0.11466929321378855
A160000,48,0.36413245884909606,0.618852747755276,0.5647931310217019,1.0957157829376944,0.3989856822408651
A417000,40,0.3548119623464576,0.5523841101337049,0.5374905065214948,1.02770951938965,0.36464363129677657
A988000,48,0.3523745814996083,0.5255021239438558,0.5189430892417637,1.012639217744812,0.35682832056291885
A228000,45,0.33278081822254846,0.4240259187808922,1.82064505601807,0.23289872860132255,0.07750422946693936
A577000,46,0.3318393778158137,0.5962847939999439,0.41472493869602073,1.4377837895998833,0.477113278174488
A184000,50,0.3271043820860857,0.4948716593053935,0.4767261737924192,1.0380627003728882,0.33955485817208714
A474000,46,0.31790006967135304,0.614243181476472,1.06792870727318,0.5751724598216521,0.18284736505034674
A389000,48,0.31748294927370396,0.6010481388776001,0.4506645735712839,1.3336928929527434,0.4234247530800153
A791000,41,0.31700677501838564,0.6118743693785833,0.5130883471517395,1.1925321882190965,0.3780407830929543
A488000,44,0.31568914758188016,0.4822428221704121,0.6622507397878553,0.7281876685028592,0.22988094434930434
A347000,50,0.3122759136585838,0.5345224838248488,0.52393894705564,1.0201999428152548,0.31858386925706866
A338000,50,0.3101418929535688,0.3499271061118826,0.4750111375665131,0.7366713713378653,0.22847265359142696
A107000,40,0.3028733152075948,0.5063696835418333,1.6622387367565097,0.30463114133045743,0.09226464369022899
A583000,44,0.2972426790638391,0.4822428221704121,0.6355132368012539,0.7588241978997919,0.225554937522203
A747000,42,0.29640202511735153,0.5174088932690605,0.9258015693603939,0.5588766647117712,0.16565217521140008
A758000,45,0.2824416347801652,0.5640760748177662,1.181233726316219,0.47753129821046253,0.13487472052525762
A112000,46,0.28207764687632064,0.44667315591219536,0.8474141181735628,0.5271013856541745,0.14868351853057754
A640000,42,0.2780268090062213,0.5625766175720353,0.4688082948102587,1.2000142143383523,0.3336361227745998
A244000,48,0.27724028067960804,0.5457768229098153,0.47078510825621783,1.1592907535486112,0.3214020939030913
A086000,46,0.2758410485381167,0.4714045207910317,0.4927399706327649,0.9567003873983781,0.2638972379967911
A890000,43,0.27529395466013307,0.4075695729696112,0.9200706644888194,0.44297638072837825,0.121948719671748
A854000,48,0.2690391232003228,0.6010481388776001,1.2366500441806778,0.4860292867056134,0.13076089314495654
A600000,46,0.2688199681503254,0.5962847939999439,0.5348015622790243,1.1149645701461914,0.2997247402354404
A000000,46,0.26554732771473977,0.4714045207910317,1.1610497060154485,0.4060157961788066,0.10781640968525455
A965000,48,0.2612090907059334,0.5052911526399113,1.0055547758853673,0.5024998784327928,0.1312575363252719
A647000,48,0.260895528421329,0.46126560401444255,1.936932228863321,0.2381423558041233,0.06213027575701689
A075000,48,0.25842712423312686,0.618852747755276,0.9583570048348012,0.6457434386488906,0.16687761984244337
A490000,50,0.25837800675359374,0.45175395145262565,0.5680751030623543,0.7952363147360803,0.20547157389958196
A396000,42,0.25826204399207836,0.4679011380933327,0.4367348909567542,1.071361935540123,0.27669212332790144
A006000,44,0.25281087052642987,0.4822428221704121,0.6337810065567847,0.7608981922483736,0.19236333436429812
A663000,45,0.2517926172948875,0.4767312946227962,0.8259362131430146,0.577201104681734,0.14533497685331417
A782000,46,0.2517443988541039,0.5370342606402773,2.3001338913825156,0.23347956510370277,0.05877717276174926
A391000,50,0.25013808951891986,0.5714285714285714,1.3504836027953369,0.42312884824797853,0.1058406417210903
A037000,50,0.24942516744195484,0.5345224838248488,1.28021617674419,0.41752517546234375,0.10414128680092667
A608000,48,0.24889833048005722,0.3572948005052482,0.4892134778408843,0.7303453741343112,0.18178174429586283
A523000,48,0.24778291922791018,0.5052911526399113,0.44967463373554784,1.1236816905644524,0.27842912957101323
A323000,46,0.2474101772665352,0.5370342606402773,0.6673357150812093,0.8047437721431179,0.199101799320069
A033000,50,0.24624199982030204,0.5345224838248488,2.3977518898247703,0.22292651966751745,0.054893872015909395
