,move_flag_within,rate_gap_within,balance_to_orig_within,loan_age_years_within,log_balance_within,trend_within
move_flag_within,1.0,0.004038468534721587,-0.007428256943810867,-0.17451427778223738,0.00454149858968666,0.014490376100852548
rate_gap_within,0.004038468534721587,1.0,-0.0024530907542034126,0.05798363876300357,0.24370298542636648,0.4660808324992187
balance_to_orig_within,-0.007428256943810867,-0.0024530907542034126,1.0,-0.005024618864585242,0.022446921380802964,-0.004763547372279885
loan_age_years_within,-0.17451427778223738,0.05798363876300357,-0.005024618864585242,1.0,-0.005559448223102413,0.25226386335854606
log_balance_within,0.00454149858968666,0.24370298542636648,0.022446921380802964,-0.005559448223102413,1.0,9.563358392452197e-05
trend_within,0.014490376100852548,0.4660808324992187,-0.004763547372279885,0.25226386335854606,9.563358392452197e-05,1.0
