,move_flag_fd,rate_gap_fd,balance_to_orig_fd,loan_age_years_fd,log_balance_fd,move_flag_fd_lag1,rate_gap_fd_lag1
move_flag_fd,1.0,-0.007410239515963242,-0.01430701736478349,-0.3058399489840279,0.001279359450364414,-0.5037676588383034,0.0007422154657585567
rate_gap_fd,-0.007410239515963242,1.0,0.006575440884780243,-0.006186899274253865,0.450417167217193,0.006451931923641654,-0.41214827288826344
balance_to_orig_fd,-0.01430701736478349,0.006575440884780243,1.0,0.007372211430273363,0.02981324393845018,0.002736683020061947,-0.0013687710321178572
loan_age_years_fd,-0.3058399489840279,-0.006186899274253865,0.007372211430273363,1.0,-0.0038151452975316124,0.005155619839173959,-0.007473068492321058
log_balance_fd,0.001279359450364414,0.450417167217193,0.02981324393845018,-0.0038151452975316124,1.0,0.004003374153893432,-0.2300973851175431
move_flag_fd_lag1,-0.5037676588383034,0.006451931923641654,0.002736683020061947,0.005155619839173959,0.004003374153893432,1.0,-0.007215540949291923
rate_gap_fd_lag1,0.0007422154657585567,-0.41214827288826344,-0.0013687710321178572,-0.007473068492321058,-0.2300973851175431,-0.007215540949291923,1.0
